ref,author_year,trial_char,outcome,tidy_trial_char_tabular,tidy_trial_char_heatmap,trial_char_group,tidy_trial_char_old
725,Heo et al. (2009),Cohort type,1,Population studied,Trial design | Population,Trial design,Trial design
725,Heo et al. (2009),Study type,1,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
725,Heo et al. (2009),Location,1,Trial location(s),Trial design | Location(s),Trial design,Trial design
725,Heo et al. (2009),Number of centres,1,Number of sites,Trial design | Number of sites,Trial design,Trial design
731,Rabinowitz et al. (2009),Active drug class,1,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
731,Rabinowitz et al. (2009),Trial duration,1,Trial duration,Trial design | Duration,Trial design,Trial design
731,Rabinowitz et al. (2009),Treatment modality,1,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
732,Reas et al. (2008),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
759,Weinmann et al. (2008),Drug class,1,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
778,Heneghan et al. (2007),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
788,Miyasaka et al. (2006),Drug class,0,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
810,Martin et al. (2006),Drug class,1,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
810,Martin et al. (2006),Drug class,1,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
810,Martin et al. (2006),Drug class,1,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
810,Martin et al. (2006),Drug class,1,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
840,Pampallona et al. (2004),Study duration,1,Trial duration,Trial design | Duration,Trial design,Trial design
840,Pampallona et al. (2004),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
840,Pampallona et al. (2004),study quality,0,Trial quality,Quality/Risk of bias,Quality/Risk of bias,Quality/Risk of bias
854,Frampton et al. (2003),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
869,Bacaltchuk et al. (2001),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
869,Bacaltchuk et al. (2001),Active drug class,1,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
875,Wahlbeck et al. (2001),Publication year,1,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
875,Wahlbeck et al. (2001),Active drug class,1,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
875,Wahlbeck et al. (2001),Trial duration,1,Trial duration,Trial design | Duration,Trial design,Trial design
956,McVay et al. (2023),Run-in period,1,Use of run-in period,Trial design | Use of run-in,Trial design,Trial design
996,Hernandez-Rodriguez et al. (2022),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
996,Hernandez-Rodriguez et al. (2022),intervention duration,0,Intervention duration,Intervention duration,Intervention-related,Intervention duration
996,Hernandez-Rodriguez et al. (2022),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
1035,Chen et al. (2021),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
1198,Doyle et al. (2021),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
1202,Kato et al. (2021),Active treatment type,1,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
1202,Kato et al. (2021),Study duration,0,Trial duration,Trial design | Duration,Trial design,Trial design
1202,Kato et al. (2021),treatment discontinuation method,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
1202,Kato et al. (2021),dosing schedule,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
1202,Kato et al. (2021),run-in treatment duration,0,Use of run-in period,Trial design | Use of run-in,Trial design,Trial design
1202,Kato et al. (2021),maintenance treatment duration,0,Intervention duration,Intervention duration,Intervention-related,Intervention duration
1202,Kato et al. (2021),location,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
1202,Kato et al. (2021),study year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
1202,Kato et al. (2021),targeted condition,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
1360,Gagliardi et al. (2019),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
1519,Bighelli et al. (2018),Active treatment type,1,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
1519,Bighelli et al. (2018),Number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
1519,Bighelli et al. (2018),study duration,0,Trial duration,Trial design | Duration,Trial design,Trial design
1519,Bighelli et al. (2018),setting,0,Trial design,Trial design,Trial design,Trial design
1519,Bighelli et al. (2018),therapist qualifications,0,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
1519,Bighelli et al. (2018),baseline condition severity,0,Index condition severity,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
1519,Bighelli et al. (2018),open-label,0,Open label design,Trial design,Trial design,Trial design
1519,Bighelli et al. (2018),completers-only reporting,0,Reporting method,Quality/Risk of bias,Quality/Risk of bias,Reporting method
1519,Bighelli et al. (2018),risk of bias,0,Risk of bias,Quality/Risk of bias,Quality/Risk of bias,Risk of bias
1519,Bighelli et al. (2018),risk of allegiance,0,Risk of bias,Quality/Risk of bias,Quality/Risk of bias,Risk of bias
1519,Bighelli et al. (2018),treatment-resistant focus,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
1519,Bighelli et al. (2018),treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
1643,Aparicio et al. (2016),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
1643,Aparicio et al. (2016),clinical diagnosis,0,Comorbidities,Eligibility | Comorbidities,Eligibility criteria,Eligibility criteria
1643,Aparicio et al. (2016),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
1643,Aparicio et al. (2016),treatment duration,0,Intervention duration,Intervention duration,Intervention-related,Intervention duration
1643,Aparicio et al. (2016),current density,0,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
1643,Aparicio et al. (2016),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
1655,Cramer et al. (2016),Intervention elements,1,Intervention components,Intervention components,Intervention-related,Intervention components
1655,Cramer et al. (2016),Intervention elements,1,Intervention components,Intervention components,Intervention-related,Intervention components
1655,Cramer et al. (2016),Intervention duration,1,Intervention duration,Intervention duration,Intervention-related,Intervention duration
1655,Cramer et al. (2016),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
1655,Cramer et al. (2016),Study location,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
1655,Cramer et al. (2016),Study location,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
1655,Cramer et al. (2016),Study location,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
1655,Cramer et al. (2016),Study location,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
2125,Lam et al. (2022),Having trained facilitators,1,Clinician qualifications/training,Clinician qualifications/training,Trial conduct,Clinician qualifications/training
2125,Lam et al. (2022),Recruitment setting,1,Recruitment setting,Recruitment-related,Recruitment-related,Recruitment-related
2125,Lam et al. (2022),Use of mindfulness based relapse prevention programmes,1,Intervention components,Intervention components,Intervention-related,Intervention components
2125,Lam et al. (2022),Non-clinical population,0,Population studied,Trial design | Population,Trial design,Trial design
2125,Lam et al. (2022),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
2125,Lam et al. (2022),active treatment type,0,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
2125,Lam et al. (2022),control treatment type,0,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
2125,Lam et al. (2022),treatment format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
2125,Lam et al. (2022),treatment adaptation,0,Population studied,Trial design | Population,Trial design,Trial design
2125,Lam et al. (2022),mindfulness-based relapse prevention programmes,0,Intervention components,Intervention components,Intervention-related,Intervention components
2125,Lam et al. (2022),publication year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
2125,Lam et al. (2022),country,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
2125,Lam et al. (2022),Non-clinical population,0,Population studied,Trial design | Population,Trial design,Trial design
2125,Lam et al. (2022),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
2125,Lam et al. (2022),active treatment type,0,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
2125,Lam et al. (2022),control treatment type,0,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
2125,Lam et al. (2022),treatment format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
2125,Lam et al. (2022),treatment adaptation,0,Population studied,Trial design | Population,Trial design,Trial design
2125,Lam et al. (2022),mindfulness-based relapse prevention programmes,0,Intervention components,Intervention components,Intervention-related,Intervention components
2125,Lam et al. (2022),publication year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
2125,Lam et al. (2022),country,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
2125,Lam et al. (2022),Non-clinical population,0,Population studied,Trial design | Population,Trial design,Trial design
2125,Lam et al. (2022),number of sessions,0,Intervention frequency/intensity,Intervention frequency/intensity,Intervention-related,Intervention frequency/intensity
2125,Lam et al. (2022),active treatment type,0,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
2125,Lam et al. (2022),control treatment type,0,Control/Comparator intervention type,Intervention type | Control/Comparator,Intervention-related,Intervention type
2125,Lam et al. (2022),treatment format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
2125,Lam et al. (2022),treatment adaptation,0,Population studied,Trial design | Population,Trial design,Trial design
2125,Lam et al. (2022),mindfulness-based relapse prevention programmes,0,Intervention components,Intervention components,Intervention-related,Intervention components
2125,Lam et al. (2022),publication year,0,Publication/Reporting year,Publication Type/Year,Publication details,Publication/Reporting year
2125,Lam et al. (2022),country,0,Trial location(s),Trial design | Location(s),Trial design,Trial design
2260,Stahl et al. (1993),Trial design,1,Trial design,Trial design,Trial design,Trial design
2260,Stahl et al. (1993),Trial design,1,Trial design,Trial design,Trial design,Trial design
2260,Stahl et al. (1993),Drug-treatment group,1,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
2260,Stahl et al. (1993),Placebo group,1,Placebo treatment arm,Trial design | Placebo arm,Trial design,Trial design
2260,Stahl et al. (1993),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
2260,Stahl et al. (1993),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
2260,Stahl et al. (1993),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
2260,Stahl et al. (1993),Treatment arm,0,Intervention type,Intervention type,Intervention-related,Intervention type
2307,Lewis et al. (2020),Trauma focused therapy,1,Intervention focus,Intervention components,Intervention-related,Intervention components
2307,Lewis et al. (2020),Delivery format,0,Intervention delivery/format,Intervention delivery/format,Intervention-related,Intervention delivery/format
2307,Lewis et al. (2020),recruitment format,0,Recruitment strategies,Recruitment-related,Recruitment-related,Recruitment-related
2342,Albano et al. (2019),Treatment arm,1,Intervention type,Intervention type,Intervention-related,Intervention type
2520,Huang et al. (2014),Active treatment type,0,Experimental intervention type,Intervention type | Experimental,Intervention-related,Intervention type
3001,Hrobjartsson et al. (2014),Blinded groups,1,Blinding,Trial design | Blinding,Trial design,Trial design
3048,Somerson et al. (2016),Trial type,1,Trial design,Trial design,Trial design,Trial design
3048,Somerson et al. (2016),Follow-up strategy,1,Follow-up strategy,Follow-up related,Follow-up related,Follow-up related
3048,Somerson et al. (2016),Funding source,1,Funding sources,Quality/Risk of bias,Quality/Risk of bias,Funding sources
3048,Somerson et al. (2016),Location,1,Trial location(s),Trial design | Location(s),Trial design,Trial design
3048,Somerson et al. (2016),Follow-up duration,1,Follow-up duration,Follow-up related,Follow-up related,Follow-up related
3048,Somerson et al. (2016),Impact factor,0,Impact factor,Publication Type/Year,Publication details,Publication/Reporting year
3048,Somerson et al. (2016),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
3048,Somerson et al. (2016),orthopaedic speciality,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
3048,Somerson et al. (2016),Impact factor,0,Impact factor,Publication Type/Year,Publication details,Publication/Reporting year
3048,Somerson et al. (2016),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
3048,Somerson et al. (2016),orthopaedic speciality,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
3048,Somerson et al. (2016),Impact factor,0,Impact factor,Publication Type/Year,Publication details,Publication/Reporting year
3048,Somerson et al. (2016),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
3048,Somerson et al. (2016),orthopaedic speciality,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
3048,Somerson et al. (2016),Impact factor,0,Impact factor,Publication Type/Year,Publication details,Publication/Reporting year
3048,Somerson et al. (2016),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
3048,Somerson et al. (2016),orthopaedic speciality,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
3048,Somerson et al. (2016),Impact factor,0,Impact factor,Publication Type/Year,Publication details,Publication/Reporting year
3048,Somerson et al. (2016),sample size,0,Sample size,Trial design | Sample size,Trial design,Trial design
3048,Somerson et al. (2016),orthopaedic speciality,0,Index condition type,Eligibility | Index condition,Eligibility criteria,Eligibility criteria
3123,Wasmann et al. (2019),Randomised patient preference treatment arm,1,Preference/Tailoring,Preference/Tailoring,Preference/Tailoring,Preference/Tailoring
3123,Wasmann et al. (2019),Use of crossover,1,Crossover design,Trial design | Use of crossover,Trial design,Trial design
